,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,8.96396806925998,5.029459951664762,0.901317708898887,2.6867863794996727,4.796390475060868,8.496088508943803,8.55203445808218,8.533595314004424,,,,5.47552741793226,3.490152967228742,,0.7999999999999999,8.96396806925998,5.029459951664762,8.496088508943803,Manuel Neuer,Goalkeeper
away_14,9.315487465185228,6.052025822759662,1.3922958500550089,2.889145141978392,4.961798403874366,7.633923215617881,7.367126819031847,7.493523605081037,,8.27714614093427,,5.374208647079904,,,0.5,9.087456012218189,4.956422712507276,7.413569674469237,Ivan Perisic,Right Winger
away_17,8.666880194768998,5.64524114465854,1.2543005170266435,2.9427657904057627,4.839743978461905,7.4476824390769965,7.478785158857039,7.430223337854079,7.978514114686827,,,6.757661614180372,5.539384548353716,,1.5000000000000002,8.666880194768998,5.64524114465854,7.482795957512339,Jérôme Boateng,Right Center Back
away_18,9.646943004579587,6.522549781986866,1.3927886349722534,2.9269624252612227,4.746837000436641,7.386456142617128,7.649949312326574,7.910514500878885,,,,7.126495021980103,3.0442263676970525,7.096898544180272,0.7999999999999999,9.646943004579587,6.522549781986866,7.3345136699509785,Leon Goretzka,Left Midfield
away_19,10.36052790327693,6.5087143291789396,1.2673032392557855,2.9495182815483965,4.988426095238916,7.6281276764487815,7.577637843910681,7.736542354639017,9.063598966382628,8.781094570936267,,7.894129120820374,4.719148846537329,7.290804193573237,0.7999999999999999,10.36052790327693,6.5087143291789396,7.598548383445043,Alphonso Davies,Left Wing Back
away_21,7.648384639807008,4.347711952695661,1.283707178793785,2.7897549306681624,4.508738552767463,7.402150244827517,,,,,,,,,,7.648384639807008,4.347711952695661,7.402150244827517,Lucas Hernandez,Right Center Back
away_22,9.954733228914566,5.087487828056868,1.2336093982923064,2.9525454224863013,5.0785240881869695,7.462810234162204,7.385658011939171,7.481448201288741,7.641379632562236,7.786336471999466,,7.633561635919844,3.569334692992465,7.142424330583509,0.95,8.32516354203451,5.081184319716114,7.2498509906815745,Serge Gnabry,Left Winger
away_25,8.438028218088233,6.105090004924148,1.3171390998224155,2.9224352539952783,4.9034666554459,7.3075443395352995,7.287350849151489,7.403817680028744,7.637751626720572,,,7.518086726551663,6.105090004924148,7.252042783310064,0.6,8.21850645741719,5.454724835394014,7.383778596185292,Thomas Müller,Center Midfield
away_27,9.343464157456907,6.072728837012662,1.2281726388208571,2.858619848710831,4.928911902675921,7.5166394251647235,7.528014331005201,7.551337387892102,8.105485147189484,,,8.17598505688431,4.889553504910435,7.514827522821867,1.2,9.343464157456907,6.072728837012662,7.3752824831255746,David Alaba,Left Center Back
away_29,9.10761837419194,5.589959652635419,1.320054843674246,2.853306097848273,5.148451661397691,7.483474053707886,7.520942847294302,7.751686152517412,,,8.29314093996063,7.6223220260275175,3.0175529667836143,7.245151946014357,0.7999999999999999,8.554856823970011,5.589959652635419,7.377635572154598,Kingsley Coman,Right Winger
