,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,6.97899577007773,6.186957859589012,0.9042943982024307,2.675118371728298,4.436503990782786,,,,,,,4.015043175364375,3.5311045807500188,,1.6500000000000004,6.97899577007773,5.165762691066249,,Alisson Ramses Becker,Goalkeeper
away_10,8.879482024624432,6.305265977029695,1.164980386652859,2.8410688500914993,4.910012401401442,7.61043633475907,7.483026529914667,7.513639441237977,8.14752858255305,8.04752066104773,,8.334718271620176,5.996192257914058,7.139778581793349,1.15,7.92151392491734,6.305265977029695,7.343506428350839,Sadio Mane,Left Winger
away_11,8.507360022029902,6.031251173440405,1.2332561259044095,2.8973686258997176,4.851110601002616,7.479778997917663,7.549345675992265,7.641803968615411,7.859021234523215,,,8.214661178010255,3.328866853327227,7.400507032869337,0.7999999999999999,8.507360022029902,5.883943254351628,7.559058073226611,Mohamed Salah,Right Winger
away_12,8.083809199772173,5.1419594916023,1.176772281549952,2.9213472622734717,4.912667839552888,7.358352061295548,7.352160578693883,7.472517941969197,7.438554254763037,,,6.598001010405149,3.577266001503659,,1.4500000000000002,8.083809199772173,4.895927521900917,7.358352061295548,Joe Gomez,Right Center Back
away_14,8.925028070424336,5.391528698132292,1.3404998065692824,2.9953228648597263,4.653597323833608,7.779513062612791,7.741990744386115,7.781318871572589,7.7210800145418235,8.002805236059055,7.925600722072737,6.631780480271601,4.232520452624107,,1.0999999999999999,8.925028070424336,5.391528698132292,7.788107243495418,Jordan Henderson,Right Midfield
away_15,9.141995134465304,6.133083459419781,1.1986704929013798,2.820255280311187,4.868777264617007,7.797028104089191,8.019709708011767,7.878892114229068,8.235799423090874,,,6.521931998238708,6.034919564107866,,0.8499999999999999,9.141995134465304,6.133083459419781,7.975923999456892,Alex Oxlade-Chamberlain,Substitute
away_18,7.927049959328372,4.995352347174416,1.124622679305837,3.055323706028109,5.124043155147636,7.240400334163677,7.384617962048976,7.470089404971642,,,,4.596155167918849,,,1.1500000000000004,7.072151852311301,3.584174134915122,7.031173049131077,Minamino Takumi,Left Winger
away_26,9.334517262197409,7.12055319102307,1.2153063362593524,2.8347792716176854,5.0398560664118595,7.58528756788216,7.587992832516048,7.610526672683601,7.691698503235294,8.24070788111333,,8.30528013769091,4.005234297518594,7.789480258972363,1.4000000000000001,9.334517262197409,7.12055319102307,7.6920471378384025,Andrew Robertson,Left Wing Back
away_27,9.889977836145325,6.130042665242784,1.1415728933877376,3.018549926498617,4.758447975405477,7.664199313645518,7.981901621804459,8.385304697989469,8.223994388714745,,,8.040522629217987,2.8602980773891624,7.828159690378344,0.45,7.757656851338164,6.130042665242784,7.375298732058757,Divock Origi,Center Forward
away_3,9.500319936087035,5.935001113078224,1.2230053298805363,2.8683285928439854,4.845290685394298,7.4371554707735115,7.585700704876922,7.42543073573803,7.750117020214454,,,5.8611005291108755,4.661345737744755,,1.3,9.500319936087035,5.935001113078224,7.513883898106051, Fabinho,Center Midfield
away_4,9.048539143457807,5.868884966613292,1.0927634436189206,2.8756760225613194,5.038020145969968,7.6414174577648835,7.7984755549522315,8.11709884788949,7.764474656152732,,,8.709368664035917,5.868884966613292,8.340613173415136,1.6000000000000003,9.048539143457807,5.465320878401944,7.6244773483868284,Virgil van Dijk,Left Center Back
away_5,8.215574029886135,5.743863451158115,1.2575769942807014,2.9710481653587344,4.885613453918358,7.350352040503963,7.464012980009376,7.545625739960196,7.605671297323894,,,8.207849946766999,3.9960218457462084,7.480565340544412,0.9999999999999999,8.215574029886135,5.589113221609474,7.353767665613479,Georginio Wijnaldum,Left Midfield
away_66,8.156515524164389,6.018839387494346,1.2195517359738606,2.869036474554404,4.946195180530736,7.31952004395969,7.478632062691114,7.590641292330616,7.358681723400208,,,6.7978929024590435,4.64094922627301,,1.15,8.156515524164389,5.216870229309323,7.3190960431741505,Trent Alexander-Arnold,Right Wing Back
away_76,9.123076866423812,5.876045136005592,1.3149622585867005,2.9148132522300685,5.19895331554426,7.312583475840269,7.374542841396973,7.331153401875556,,,,9.123076866423812,4.388895188161888,8.904174193249121,0.9999999999999999,8.713096455225221,4.929490468963359,7.332769531431174,Neco Williams,Right Wing Back
away_8,7.571494480273246,5.081540185896263,1.2206633505508673,2.8809768387811783,4.756753707090778,7.128851008345251,7.149498480613225,,,,,7.108448634239346,3.7185828453572665,7.106005407033432,0.9999999999999999,7.571494480273246,4.934931864806077,7.1295151553449925,Naby Keita,Left Midfield
away_9,9.45009544841292,5.429752228197157,1.1631187919579098,2.932578101469537,4.8073027167406535,7.715814970203187,7.679334478060898,7.715790234771216,7.884318215425699,8.23057795881354,,7.945828987001668,3.3386516581461185,7.56855235912553,1.15,8.495511091230673,5.3866233517245,7.46534785574839,Roberto Firmino,Center Forward
home_14,8.819374651294224,6.0665084956076,1.2755243377974426,2.8706026650874925,4.816951365241117,7.582026922378494,7.714423032228433,7.719496443072456,7.7656073286706055,,,8.381459483106708,4.93490427277528,8.168778669615982,1.7000000000000004,8.381459483106708,5.690342371184805,7.885966825654638,Aymeric Laporte,Left Center Back
home_16,8.902269093875535,5.379546981850868,1.3544261399407818,2.960598513443652,4.729277597143249,7.483155368696144,7.4466460372295895,7.481287453148523,,8.091727910405037,,8.8512045152604,4.185620783847609,7.452765058695006,0.7,8.902269093875535,5.227264597283525,7.729517189055628,Rodrigo Hernandez,Center Midfield
home_17,9.976684653249938,5.72220636422258,1.3979847053342993,2.9645439001076577,4.919703362480518,7.465129876154193,7.396341287086485,7.489184186710214,7.930100980590128,,8.436793736404844,7.826485471350537,3.980381297100155,7.300069861014971,0.9999999999999999,9.242257963284777,5.72220636422258,7.4674448794908255,Kevin de Bruyne,Right Midfield
home_2,9.631088484458207,5.419661451117341,1.087045051622495,2.886060303435074,5.032602334838517,7.782991387119216,7.800049365760922,7.695931825023716,8.31380891872905,7.835220601061595,,7.827548120480811,4.119473152135516,7.318952281008464,1.3,9.631088484458207,5.400552965233858,7.6873761625652755,Kyle Walker,Right Wing Back
home_20,8.319264474911142,6.134307887039743,1.3622268880197552,2.9397265287581322,5.091702197708204,7.189857469308267,7.198245644620009,7.270346775126231,7.916565595480208,,,7.44540690336448,3.7906128836920736,7.223665799043738,0.8499999999999999,8.319264474911142,5.50675138249445,7.219351993964885,Bernardo Silva,Left Winger
home_22,8.85948900203892,5.982912404648984,1.1719383294549641,2.848153722921131,5.079084952832558,7.526758865691108,7.515075751475429,7.562978034690657,7.891485643517127,7.754444811784351,,7.913339739040917,4.237566536716352,7.512514120916031,1.35,8.472226214038697,5.9600177969463735,7.550358173461449,Benjamin Mendy,Left Wing Back
home_26,8.675465955087391,5.925102211105245,1.3185046444789117,2.87085259097497,4.821175810260161,7.253160736558461,7.1672381169156605,7.389925485312933,,,,7.621500260624699,2.483633572563706,7.431157556535529,0.7,8.675465955087391,4.453470492636852,7.291292851707584,Riyad Mahrez,Substitute
home_27,8.62979352915009,4.610190009723212,1.1803457790719867,2.9119544650737392,4.775978950162762,7.752365801654509,8.056534427170117,8.095092188843612,,,,5.223404811145391,1.834135296711312,,0.30000000000000004,7.211448171601955,4.159275808654414,7.115768236258264,Joao Cancelo,Right Wing Back
home_30,8.666054782256841,5.530471791186008,1.1354238909070344,2.855875079089511,5.03484575569302,8.547161369793505,8.547161369793505,,8.529857514787931,,,6.024099657329009,5.530471791186008,,1.0999999999999999,6.376356740085016,5.530471791186008,,Nicolas Otamendi,Left Center Back
home_31,6.4970125159772465,5.2548000314816035,0.8178563968932859,2.5398883268692964,4.666678212244562,,,,,,,5.925925395853366,4.810976572764036,,1.6500000000000004,6.4970125159772465,5.2548000314816035,, Ederson,Goalkeeper
home_47,9.603112115971195,6.253338149820687,1.3339066942894067,2.90825499712618,4.997028261433424,7.545853241518748,7.485365274775964,7.56274169858243,7.906076564709724,8.223785904208986,8.242413511646722,7.778641144214097,4.278638989320819,7.497418027132535,0.7,9.603112115971195,6.253338149820687,7.613077489491664,Phil Foden,Right Winger
home_50,8.87698287284604,6.324906510071705,1.1714383218655702,2.8764072327679093,4.914653828480229,7.477716554543353,7.6121188128445905,7.632620173270794,7.821007996648509,,,6.217750007010916,4.560457887944266,,1.2,8.070478583034975,5.285320803140147,7.459393476553306,Eric Garcia,Right Center Back
home_7,9.475988392779996,6.379336355925653,1.1509588168103044,2.8740883396995835,5.126880221612048,7.583013481490136,7.5456475256333135,7.594525391882968,7.976532496554165,8.139872911090682,,7.810443371289894,,7.598579543778413,0.6,9.475988392779996,6.379336355925653,7.585272000879065,Raheem Sterling,Left Winger
home_8,7.4685169263135425,6.642258392591483,1.2483105913851198,2.861269152659344,4.624993639812586,7.2267095040521925,,,,,,6.798272855198394,3.994539126134597,,1.2,7.029897034427199,6.258154723634473,7.0284394395737575,Ilkay Gündogan,Left Midfield
home_9,8.541973546612951,5.632480590911315,1.1828485523240353,2.8531919122092697,4.925420085235704,7.421540393842513,7.362988329810748,7.455056486222918,7.826009508520857,7.932656879548239,,8.541973546612951,,7.626204838981855,1.3,8.541973546612951,5.01527860779638,7.480428181650444,Gabriel Jesus,Center Forward
