,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,5.794093134841599,4.702676100630279,0.6075582917400137,2.56133700749874,4.489192405923317,,,,,,,5.205596928884735,3.6627157384292457,,1.9000000000000006,5.794093134841599,4.702676100630279,,Samir Handanovic,Goalkeeper
away_10,8.811078653787419,5.688821996195914,1.2008552256167992,2.852480043739299,4.876272242401747,7.361421334953946,7.6563370580369785,7.391992904127922,7.826732553039639,,,7.934384956489307,,7.4866830399623225,0.7999999999999999,8.307301923776492,4.968392589391244,7.231294586940363,Lautaro Martinez,Left Forward
away_15,8.570601775811197,6.379633704553452,1.1428705499219356,2.846844602907817,4.717309086063804,7.400148222724057,7.6105636570947786,7.590658353829054,7.758800354259902,7.671091340867084,,7.886673686757259,4.069149861409193,7.765671089090295,1.0999999999999999,8.570601775811197,6.379633704553452,7.295234678222578,Ashley Young,Left Winger
away_23,8.197939047849449,5.99017998740885,1.381701860803402,2.97823254319112,4.749165022374346,7.4683017433064744,7.648331827456953,7.652928222336627,7.697769316110551,,,6.582555744520371,4.213429568845783,,0.9999999999999999,8.197939047849449,5.740376869737517,7.5388353513705795,Nicolo Barella,Left Midfield
away_24,7.518069411695881,5.182261962611923,1.3238799587285377,3.0063437820404775,4.719013260532363,7.226493389746036,7.213057668472095,7.218894644507041,,,,7.428791938721665,2.511620907135993,7.428791938721665,0.35000000000000003,7.518069411695881,5.182261962611923,7.208466302492331,Christian Eriksen,Left Midfield
away_37,8.281417107471958,5.590728978449506,1.2218723400176952,2.918627721282487,4.749561691322749,7.252324811327658,7.480421524261557,7.607295282338125,,,,6.80184888231058,3.7418330003160287,,1.0999999999999999,8.191406256988525,5.590728978449506,7.327406267711241,Milan Skriniar,Right Center Back
away_5,7.759478770995886,5.507214777707706,1.319757712173195,2.9765218735209116,4.793658510161013,7.393390385400313,,,,,,7.274249291385097,2.2461029160215777,7.274249291385097,1.2,7.759478770995886,5.507214777707706,7.4416650744205555,Roberto Gagliardini,Right Winger
away_6,8.319435532317222,5.776214995942672,1.1756325131489607,2.8286065686582007,4.938948653050943,7.57861858034769,7.80632081626853,7.63015447853514,,8.091436979897539,,6.760811044085134,5.317028829622324,,1.8000000000000005,8.319435532317222,5.706314643212404,7.798371992589323,Stefan de Vrij,Center Back
away_7,8.275737049105272,5.294736023495029,1.2322568556810038,2.8524592055863396,4.962488351311901,7.351968660608326,7.545833613363573,7.723991658174085,,,,5.948945623435274,3.6159368486621686,,0.8999999999999999,8.275737049105272,4.466348086532581,7.351968660608326,Alexis Sanchez,Right Forward
away_77,8.64449981783082,6.138896610089609,1.2982403248936198,3.1149828219391758,4.585008349372053,7.32220954564987,7.366372180250922,7.494567424469852,,,,7.191332835856539,5.6759732477312825,7.17464402645396,1.3,8.64449981783082,6.138896610089609,7.299420584382889,Marcelo Brozovic,Center Midfield
away_8,8.572592476341049,6.016773545817954,1.3534830914531002,3.005558468147161,4.793468666136179,7.233584094636155,7.295373716710651,7.4613763124368955,7.473675307234352,,,7.415086683477356,3.286619312971806,7.190611567295877,0.7,8.572592476341049,5.327577160057466,7.211084545563114,Matias Vecino,Right Midfield
away_87,7.804329707633622,6.108558674190131,1.2466003825795733,2.983361258607782,4.836180213816634,7.254957995317792,7.286518245165697,7.4258565376984285,,,,7.5930320082941405,4.774992802290295,7.29273412939771,1.0999999999999999,7.467964082678316,6.108558674190131,7.1535308922100995,Antonio Candreva,Right Winger
away_9,8.074197061558815,5.5269795022976655,1.141708006601688,2.8923427570625018,4.884634328736546,7.337774447480166,7.457561824412022,7.509506279083654,,,,5.209476848189465,,,0.6,8.074197061558815,5.5269795022976655,7.298530248145292,Romelu Lukaku,Right Forward
