,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,8.062115081014264,4.582191601025343,0.7886664939504464,2.709222411028658,4.699755033613135,7.527695325295019,,,,,,6.5242913326205505,2.781308249658467,,1.2,8.062115081014264,3.868553644606402,7.91065716952256,Roman Bürki,Goalkeeper
away_10,8.365146541392956,6.416027958602045,1.2151362896903029,3.087863682743955,4.949979215679038,7.326663525083367,7.39717690823142,7.596564278412318,,,,7.185823007162161,1.6666515862168214,7.166716781081226,0.5,7.864325674911729,5.39935627200083,7.181805192619979,Mario Götze,Center Forward
away_11,9.468442600292999,4.533571859622614,1.2063818702518478,3.025765392905928,4.915880012889218,7.529240004218927,7.703446953648774,7.718267334957115,8.166610714730666,,,6.621151712865018,,,0.5,8.938055706579396,4.533571859622614,7.507273973280972,Marco Reus,Center Forward
away_13,8.113323338819773,6.060330330846785,1.2377208782814804,2.9086162706212524,4.784838204116344,7.333805087193906,7.703291640882334,7.610835130232606,,,,7.905009732161002,2.820428094606895,7.82036586556783,0.45,7.839127095745306,5.052835983303655,7.170187078990955,Raphael Guerreiro,Right Winger
away_14,9.60937118502721,6.1228196587034045,1.2244950170055575,2.8566911022138632,4.992984962649819,7.782841170696269,7.883415714593066,7.823171159138578,8.458208051841993,8.415361181319312,,8.073409798897082,6.1228196587034045,7.366906466237637,0.5,9.60937118502721,4.201134067892782,7.868572245984149,Nico Schulz,Left Wing Back
away_15,9.459070813356686,5.854340970003468,1.2486207349162317,2.873625964920071,4.876043243525559,7.537578627687354,7.796682412963305,7.924080920616921,,,8.284009000128457,8.09111426799308,3.088422676262291,7.594002798760732,1.0999999999999999,9.459070813356686,5.854340970003468,7.619243007945915,Mats Hummels,Left Center Back
away_16,9.19119697198845,6.281322682562632,1.1595461036576826,2.8781140525703925,4.922137460459341,7.914080049093386,7.933440926346798,7.896724283473422,,8.319044922552107,,7.087952205105183,6.281322682562632,7.041988945208141,1.2,9.19119697198845,5.146881489765028,7.928285605466939,Manuel Akanji,Right Center Back
away_19,9.35444216517733,5.8732695025462975,1.3449553097234952,3.0172867295139993,4.750771241774016,7.412855253992554,7.412855253992554,7.4772753819697435,,,,8.986164334910113,3.9743362881762696,7.700361150644961,0.7,8.655570660262532,5.8732695025462975,7.364486449121221,Julian Brandt,Attacking Midfield
away_23,9.501172592586459,5.056866857488397,1.2735529188164048,2.9196500421371754,4.931494751779964,7.417325622284045,7.5066753779722655,7.8553014416766,7.66281959822331,,,9.438741569328746,,7.458331466360582,0.95,9.501172592586459,4.721633101917094,7.371156454051879,Thorgan Hazard,Left Winger
away_28,8.398396191078747,5.82836033783376,1.231284279102297,2.890023754309773,4.829758293747561,7.340113439808138,7.340113439808138,7.573739209350561,7.680861235500263,,,7.409005669533295,4.2964606664626235,7.356452087735594,0.8999999999999999,8.34720094099026,5.82836033783376,7.276076146894118,Axel Witsel,Left Midfield
away_33,8.42762790355572,5.171395465316733,1.3219356571096195,2.921688415567792,4.612422086932725,7.528362535426497,7.597926467108499,,7.712011453294215,,,7.881684150118151,,7.4775979647720225,0.55,8.42762790355572,5.171395465316733,7.537592988264231,Julian Weigl,Right Midfield
away_5,9.855442596819652,5.874373934947468,1.1181110760952144,2.909311354123332,4.964858025278438,7.844353684427712,7.831797614612451,8.093393658140638,8.3145205763813,8.335154623843247,,9.206899772696241,4.774241952515049,7.8266612756845895,1.0999999999999999,9.686700445033264,5.874373934947468,7.853563063631805,Achraf Hakimi,Right Wing Back
