,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_10,7.075085359937012,5.517633453492809,1.1042241914396256,3.010942963380996,4.863052857336731,7.050686231374646,,,,,,5.90879120664536,4.6543719878201815,,1.4000000000000001,7.075085359937012,4.922782015152114,7.050686231374646,Luka Modric,Right Midfield
away_11,9.337731278233843,6.271592375193903,1.1127192522920488,2.8542162937165028,4.822848347586613,7.6366926520527345,7.537588920380661,7.485245845411904,7.816672498919116,7.8935627329915565,7.996495892161603,7.589487127389166,4.717344596611011,7.331009459304361,1.4000000000000001,9.056279512126633,5.379155910420427,7.8137394108431515,Gareth Bale,Right Winger
away_13,8.609390349467049,4.885986143831986,0.7157949730134893,2.7038250920999167,4.892059121110986,8.137701841948592,,,,,,6.3501185567135865,3.5910017329441026,,1.35,8.609390349467049,4.885986143831986,8.425809530976721,Thibaut Courtois,Goalkeeper
away_14,8.371502936425715,6.241564935985215,1.200240694339176,2.9583151852461986,4.774007931694062,7.453128342633547,7.48326537004909,7.532257437102356,,7.544940976644315,,6.818782024023073,5.214171046461558,,0.9999999999999999,8.371502936425715,6.241564935985215,7.4829325735742245, Casemiro,Center Midfield
away_15,9.409307984261616,6.542470444057645,1.1569336811455115,2.9103252878791475,4.84545050827138,7.473135022846699,7.477082390913404,7.4632686847712115,8.029272437265805,8.58814758914983,,9.409307984261616,4.1166809482238715,9.11996426929219,1.0499999999999998,8.953522315603006,6.542470444057645,7.2967389192179075,Federico Valverde,Right Midfield
away_2,9.026405327155407,6.3623750632352865,1.2442781753391434,2.859171071835782,4.90628377311725,7.692589003975075,7.571480597000162,7.514402767982971,8.171022528504832,8.16041230019506,8.033730505376932,8.278360708398449,4.652779563760966,7.656155902092009,0.8999999999999999,9.026405327155407,5.943216544203005,7.771047411509318,Daniel Carvajal,Right Wing Back
away_22,8.742771126511716,5.748504980022822,1.148423676596062,2.885793509583066,4.897638869038859,7.372546963257656,7.384083380816617,7.593052885523746,7.675804438892614,7.551627521640396,,8.261077857982766,4.030938031577126,7.689418789586352,0.6,8.742771126511716,5.748504980022822,7.283764378248138, Isco,Left Winger
away_23,8.980679762681415,6.723623070911464,1.2180675181991951,2.8113683953347,4.994000501206181,7.494081674676386,7.559960887220154,7.624316965979473,7.853229191178286,,8.100869585676916,8.41849617020864,4.506631311542111,7.268095839459544,0.8499999999999999,8.980679762681415,6.491706473412936,7.52073071907694,Ferland Mendy,Left Wing Back
away_27,8.728077198549208,5.120980439194378,1.2180681699052374,2.907528908033295,4.62695474182444,7.770712817510651,7.646287330477997,7.8137449145583115,,,,5.480160767311268,0.576641547504936,,0.5,6.664731664382223,5.120980439194378,, Rodrygo,Left Winger
away_4,8.400168803613346,5.86147708955076,1.2003860962111896,2.7867535315410557,4.871333184322438,7.444667566816712,7.497013646696319,7.553134684938208,7.6308877474863905,,,7.2414771665884885,3.8284113223545146,7.156581671801332,0.7,8.400168803613346,5.86147708955076,7.521582735964113,Sergio Ramos,Left Center Back
away_5,9.442827650029406,6.04708295758429,1.193700369933121,2.7438181699003956,4.917487167839678,7.678574133615589,7.72648727398883,7.673109540089516,7.962329436420377,,,6.560030154914341,6.04708295758429,,1.7000000000000004,8.762739877789885,5.698987076571407,7.629942739340733,Raphael Varane,Right Center Back
away_8,8.02545064345985,6.407850567337134,1.2851891733166942,2.825314866241503,4.7228852766399445,7.1901738960839605,7.214819427410902,7.367979533069615,,,,6.650461145840023,5.604565519424066,,0.9999999999999999,7.874192907062843,6.407850567337134,7.189465965514393,Toni Kroos,Left Midfield
away_9,8.797120228603884,5.739636386815141,1.1768451885557583,2.8320211267965205,4.803939226460103,7.417223835904328,7.641727640757405,7.496622838133674,7.9691506681465825,,,7.48183963060774,4.25095429980259,7.21075357262008,0.7999999999999999,7.616171178906248,5.14498268177795,7.198692188903804,Karim Benzema,Center Forward
home_1,6.311819490263331,5.26496736017826,0.5925252802359249,2.571001506013148,4.769726885906364,,,,,,,5.339360839080123,5.094549987183106,,1.2,5.789968976866671,5.26496736017826,,Marc-Andre ter Stegen,Goalkeeper
home_10,7.586515610642677,6.541070906819981,1.098579454148378,2.9017536203825047,5.083292054929868,7.182823536944024,7.136979612945639,7.262430423757419,,,,7.227960504960859,4.542290483000778,7.203504449660336,0.8999999999999999,7.556978527084074,5.049770444403087,7.191954642010785,Lionel Messi,Right Winger
home_15,8.755189210404101,6.294220152854311,1.1114345920783415,2.868028887152404,4.6071602164585075,7.631772350610059,7.959480486325818,7.8664123036950295,8.110602456163596,,,6.942222863083992,4.563131416353868,,1.3,6.942222863083992,6.095295591254496,,Clément Lenglet,Left Center Back
home_17,8.375162454652298,6.111751370793133,1.3138590875522917,2.9218355101861166,4.867770939580169,7.4684391056393835,7.496317454042944,7.653958824093497,7.5981061956810505,,7.677336149071308,8.012886866632682,4.755434538902205,7.529993383603623,0.7,8.375162454652298,5.187888684027181,7.501571979440108,Antoine Griezmann,Left Winger
home_18,9.123859160058293,6.199993884755254,1.1942998689214792,2.692572368338864,4.854573983777094,7.502786505184957,7.615382360913866,7.568151499107243,7.6150850128065475,8.192034644092583,7.515140344381185,7.3498081182581965,3.971815433510198,7.197764628835197,1.15,9.123859160058293,5.914710755385918,7.513898206505063,Jordi Alba,Left Wing Back
home_2,8.723903565441613,5.927930714118884,1.205574817442319,2.855903163912447,4.912016934721091,7.668127250170643,7.76839025961719,7.654981211306758,7.799830889182106,,7.809448393468674,6.261644217153478,5.052132746438381,,0.9999999999999999,8.723903565441613,5.515454277097542,7.768637404482682,Nelson Semedo,Right Wing Back
home_20,7.882380051421988,6.078152815184664,1.2591868178424628,2.8838959234550647,4.836317342350888,7.232710663522442,7.179719979217824,7.364522603353345,7.5272496583908515,,,7.3156644146496745,5.65306331729936,7.172262525468123,0.95,7.882380051421988,5.65306331729936,7.162144108935439,Sergi Roberto,Right Midfield
home_21,8.474302395238636,6.098163256619426,1.2339649059142372,2.988764717022935,4.712402205122607,7.479861302085125,7.605491688181425,7.568848674382263,7.725067963495102,,,7.91284758195981,5.4117179308012835,7.525469049737159,0.8999999999999999,8.370245581439777,6.098163256619426,7.366192241765355,Frenkie de Jong,Left Midfield
home_22,7.8320167447037905,5.207287135237489,1.1583030142536632,2.8499031414357185,5.073179015877546,7.421052435732641,7.485708941418007,7.514416504699178,7.552094670673896,,,7.529407059100843,0.9925105095579421,7.471522001627911,0.5,7.8320167447037905,4.811726244009072,7.434980102188073,Arturo Vidal,Right Wing Back
home_3,9.229647066857103,6.435940753293642,1.148432008762948,2.790713917210268,4.803417164110451,7.514783587633115,7.4986478812892114,7.487298686721409,7.708352828878646,8.127372098865198,,7.552209468301859,4.720047615197472,7.154224119427701,1.8000000000000005,7.552209468301859,5.045218103855357,7.140279587080684,Gerard Pique,Right Center Back
home_31,9.42833366075891,5.256884946549807,1.1607765842063023,2.8331535558407643,4.8907658447865785,8.24677123439223,8.314774097811169,,,8.289077818440086,,6.30773402821148,2.7473621123264724,,0.5,7.206884719463585,4.183932394341612,7.065562889504571,Ansu Fati,Left Winger
home_4,9.142617779904564,5.8004850612961265,1.259916321787652,2.89627281947005,4.7136936538574785,7.537904449668675,7.680580936431555,7.971536524621733,7.7259276271393755,,,6.678617148428613,4.40306883600383,,1.3,9.142617779904564,5.450218693835562,7.687426415125545,Ivan Rakitic,Center Midfield
home_9,8.580122308840624,5.281203025897548,1.1152648416010598,2.9588650437696917,5.022604904382056,7.499146241307297,7.614076547914626,7.4016342976248275,7.911738350126846,7.6782626233253195,,7.839231121426337,1.8316184464195682,7.571527727959783,1.25,8.467561507110796,5.042402464239454,7.536711903126391,Luis Suarez,Center Forward
