,top_speed,top_acc,median_walk_speed,median_jog_speed,median_run_speed,median_sprint_speed,median_sprint_maintainance,median_10_20m_sprint_speed,median_20_30m_sprint_speed,median_30_40m_sprint_speed,median_40mplus_sprint_speed,in_poss_top_speed,in_poss_top_acc,in_poss_median_sprint_speed,in_poss_median_duration,def_top_speed,def_top_acc,def_median_sprint_speed,player_name,player_role
away_1,5.771938678379346,6.0619100029380375,0.7253552278523311,2.5302296234533106,4.650616423211759,,,,,,,3.2669253084663015,3.4313228007707446,,2.0000000000000004,5.395987559647152,4.987321698292472,,Claudio Bravo,Goalkeeper
away_10,7.73273179066793,6.6637272399020935,1.1604467115415495,2.8787416632802363,4.894341069051766,7.262612439672598,7.319896227219644,7.4128169907192385,,,,7.432952935900701,2.2932781400561755,7.192633352695321,1.25,7.590308322822466,5.687722731828512,7.420794176338715,Sergio Aguero,Center Forward
away_12,8.15152408727579,6.408804866499004,1.2220895477695093,2.9544997728915092,4.931690669644577,7.343507604779872,7.569911074867853,7.644730618107406,7.697773295496064,,,6.956147098314073,5.502130187282461,,1.2,8.15152408727579,6.008824924485158,7.343507604779872,Jose Tasende,Left Wing Back
away_16,8.377618137561056,5.640624861719284,1.3025463234063228,2.9678348996729196,4.736225063529079,7.433181635211719,7.463812018911313,7.300716795981933,7.6041353645815635,,,8.062184190214676,5.5573258434797115,7.886647598400084,1.0999999999999999,8.235998831744196,5.08200939617838,7.426958564054828,Rodrigo Hernandez,Center Midfield
away_17,9.35975355336871,7.592004411289624,1.3987893609614686,2.9551064028351357,4.937131186198728,7.565216838853164,7.714214480036379,7.824795866251179,7.949811399140649,,,7.264661218473567,3.461526719311022,7.044472066818445,0.9999999999999999,9.35975355336871,7.592004411289624,7.407512991679925,Kevin de Bruyne,Right Midfield
away_2,9.475276266110983,5.728617367157803,1.091619785940734,2.849436743094172,5.09734961457111,7.649245463131115,8.077843051729639,7.598337030096886,8.31063773783674,,8.430739131608444,8.865460305658708,4.396975854234198,7.59505501031053,1.2,9.066222016888624,4.9530235735839465,7.52517624476647,Kyle Walker,Right Wing Back
away_20,8.81873847188366,5.759336814389432,1.2874314554255761,2.9155320430209017,4.837623101475094,7.364322548041522,7.499564781113429,7.574259892791231,7.820051624378733,,7.4566079231659295,7.163652108540001,4.499892297040518,7.163213612567285,0.6499999999999999,8.81873847188366,5.759336814389432,7.354322408921867,Bernardo Silva,Right Winger
away_25,8.953448803558903,6.024175885625341,1.030368511243302,2.8840673571280226,4.913132938076685,7.640843294993212,7.691180991053043,7.605942679304261,7.82203069647836,8.356058562520667,7.970940674669616,7.334972614951737,4.760682299894874,7.111747820111208,1.6000000000000003,8.953448803558903,5.431460177601385,7.7388602868354095,Luiz Fernandinho,Left Center Back
away_5,9.081600355580992,5.942873141194157,1.0796791483990738,2.919438699561484,4.912129418767062,7.720604842975542,7.812779978989208,7.550521114360738,7.496455249275627,7.989822258680727,8.402750052399703,7.732485169954179,4.534150111290085,7.732485169954179,1.7500000000000004,9.081600355580992,5.942873141194157,7.908646003903967,John Stones,Right Center Back
away_7,9.477921490817334,7.199807090940714,1.1564189587237068,2.910238032306477,5.077846567447695,7.723752664437909,7.8891147998242825,7.85921400658514,,7.762032861326885,8.278993539756542,8.326728183767555,5.2216825106376055,7.678873062424657,1.0999999999999999,9.477921490817334,7.199807090940714,7.686106796988654,Raheem Sterling,Left Winger
away_8,8.245954176257463,5.829409476553646,1.1673461741851505,2.946782709547413,4.713529433832945,7.140011342911773,7.256540797916576,7.63592743010369,,,,7.118150011424838,4.59775484259122,7.052145098765831,0.8999999999999999,8.245954176257463,5.829409476553646,7.148666958928341,Ilkay Gündogan,Left Midfield
away_9,9.44397205284376,6.931308103331944,1.1437459638935397,2.8603821746293385,4.8908315946826875,7.337325691285806,8.20139217071946,,8.352749459177112,,,5.4726392392631436,2.119377169362794,,0.30000000000000004,9.44397205284376,4.60489871697076,8.20909224760935,Gabriel Jesus,Center Forward
home_1,7.551091784417219,4.851435934521468,0.8021005391685337,2.725793791252248,4.466122619139656,7.301991356131522,,,,,,5.093593054741731,3.8351211148142297,,1.4000000000000001,6.206562871442946,4.4788863653565,,Alisson Ramses Becker,Goalkeeper
